,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
36,2009,el Clot,27562.0,85.5,14.5,,,1306228,910017,170250,100653,68339,16809,23241,5878,2046,4183.0,1792,348.0,2672,859.0,12.5,68.72,55.4749292504172,54.0599375952398,1.4149916551773956,1.0
37,2009,el Coll,7299.0,86.0,14.0,,,348798,258504,36327,21367,14894,3460,3872,290,4836,1640.0,910,0.0,2698,832.0,12.17,68.36483155299918,52.1989313604603,58.6381696122757,-6.439238251815404,0.0
38,2009,el Congrés i els Indians,14111.0,86.5,13.5,,,712226,493533,52393,67583,42345,9500,28226,4330,4471,4929.0,4681,0.0,235,834.0,11.57,72.08297320656871,59.5280277797463,55.9846927928566,3.543334986889704,1.0
39,2009,el Fort Pienc,33202.0,81.5,18.5,,,2074293,1270613,223804,127493,167355,132426,45689,10545,31743,20939.0,5986,30715.0,6985,988.0,12.73,77.61194029850746,54.8460936088187,64.0021685440636,-9.156074935244895,0.0
40,2009,el Guinardó,35836.0,85.4,14.6,,,1946857,1274847,172245,137149,134210,28519,28892,115974,11040,32004.0,7896,2962.0,1119,810.0,11.56,70.06920415224913,67.6414778435093,60.1071548163858,7.534323027123506,1.0
41,2009,el Parc i la Llacuna del Poblenou,13457.0,80.8,19.2,,,1668733,487868,130358,215136,662215,141254,9232,4539,2660,5725.0,1398,0.0,8348,936.0,12.95,72.27799227799228,56.1046295608234,53.6523742290258,2.452255331797595,1.0
42,2009,el Poble Sec - Parc Montjuïc,41018.0,71.9,28.1,,,2673728,1211979,133463,182448,224967,85905,96276,9194,203583,202720.0,7674,13885.0,301634,800.0,12.9,62.01550387596899,91.7158320737237,89.7167097371886,1.999122336535109,1.0
43,2009,el Poblenou,31433.0,83.8,16.2,,,1772097,1127125,129836,149757,276702,36704,16735,13799,9544,2235.0,6512,2219.0,929,979.0,13.56,72.1976401179941,65.9179842840327,56.8192663761015,9.098717907931196,1.0
44,2009,el Putxet i el Farró,30461.0,86.7,13.3,,,2099648,1430458,283043,121044,97098,69688,32620,23754,16268,13033.0,10454,1709.0,479,1.047,13.76,0.07609011627906977,61.4228029283346,65.0011490102098,-3.5783460818752033,0.0
45,2009,el Raval,49315.0,52.7,47.3,,,2705870,1546988,160328,209740,156295,139212,169324,14885,202307,11446.0,29450,54312.0,11583,842.0,14.51,58.0289455547898,147.034370881071,156.179661360641,-9.145290479570008,0.0
46,2009,el Turó de la Peira,16593.0,76.5,23.5,,,566053,440161,23810,31383,34212,2439,18636,5088,422,4753.0,4851,0.0,298,758.0,11.73,64.62063086104007,107.334418128126,103.176038088351,4.158380039774997,1.0
47,2009,l'Antiga Esquerra de l'Eixample,42183.0,80.9,19.1,,,3976914,2307678,366121,338596,237973,342983,91524,151575,78643,6445.0,20592,9358.0,25426,1.046,13.35,0.07835205992509364,60.3797738425432,63.4378778180784,-3.0581039755351966,0.0
48,2009,la Barceloneta,16351.0,71.1,28.9,,,851315,426500,113036,60800,6285,85832,28139,39271,73385,13774.0,3627,0.0,666,786.0,18.45,42.60162601626016,84.3373493975904,93.8168919332151,-9.479542535624702,0.0
49,2009,la Bordeta,18823.0,86.0,14.0,,,1000424,603023,122360,82967,117211,41382,16768,2514,1169,703.0,1368,0.0,10959,846.0,12.0,70.5,49.1951336131329,45.9544174679913,3.2407161451416044,1.0
50,2009,la Clota,480.0,80.8,19.2,,,36800,18720,888,2492,12044,0,1390,411,0,0.0,855,0.0,0,,,,75.0,104.166666666667,-29.166666666667,0.0
